title,description,age_min,age_max,tags,cost,indoor_outdoor,season,players,duration_mins,source,fetched_at
STEM Workshop,"Hands-on science, technology, engineering, and math activities",8,11,"STEM, learning, experiments",medium,indoor,all,10-15,112,Recreation Programs Dataset,2025-11-20T22:03:04.936924
Drama Club,"Theater games, improvisation, and performance preparation",9,12,"theater, creative, confidence",low,indoor,all,12-20,84,Recreation Programs Dataset,2025-11-20T22:03:04.936924
Drama Club,"Theater games, improvisation, and performance preparation",7,12,"theater, creative, confidence",low,indoor,all,12-20,96,Recreation Programs Dataset,2025-11-20T22:03:04.936924
Outdoor Adventure Camp,"Hiking, camping skills, and nature activities",8,10,"outdoor, adventure, nature",high,outdoor,summer,15-25,238,Recreation Programs Dataset,2025-11-20T22:03:04.936924
Outdoor Adventure Camp,"Hiking, camping skills, and nature activities",9,10,"outdoor, adventure, nature",high,outdoor,summer,15-25,254,Recreation Programs Dataset,2025-11-20T22:03:04.936924
Teen Leadership Program,Developing leadership skills through workshops and community service,13,16,"leadership, community, development",free,both,all,10-20,131,Recreation Programs Dataset,2025-11-20T22:03:04.936924
Digital Media Production,"Learn video editing, photography, and content creation",12,18,"technology, creative, media",medium,indoor,all,8-15,110,Recreation Programs Dataset,2025-11-20T22:03:04.936924
Digital Media Production,"Learn video editing, photography, and content creation",12,16,"technology, creative, media",medium,indoor,all,8-15,122,Recreation Programs Dataset,2025-11-20T22:03:04.936924
Competitive Swimming,Advanced swimming techniques and competitive training,12,18,"sports, competition, fitness",medium,indoor,all,15-30,96,Recreation Programs Dataset,2025-11-20T22:03:04.936924
Competitive Swimming,Advanced swimming techniques and competitive training,10,17,"sports, competition, fitness",medium,indoor,all,15-30,89,Recreation Programs Dataset,2025-11-20T22:03:04.936924
Robotics Competition Prep,Build and program robots for regional competitions,13,16,"STEM, robotics, competition",high,indoor,all,4-8,136,Recreation Programs Dataset,2025-11-20T22:03:04.936924
Robotics Competition Prep,Build and program robots for regional competitions,11,16,"STEM, robotics, competition",high,indoor,all,4-8,164,Recreation Programs Dataset,2025-11-20T22:03:04.936924
Teen Volunteer Corps,Organized community service and volunteer opportunities,12,19,"community, service, social",free,both,all,5-20,166,Recreation Programs Dataset,2025-11-20T22:03:04.936924
Teen Volunteer Corps,Organized community service and volunteer opportunities,14,17,"community, service, social",free,both,all,5-20,196,Recreation Programs Dataset,2025-11-20T22:03:04.936924
Advanced Art Studio,Portfolio development and advanced techniques in various media,15,19,"art, creative, portfolio",medium,indoor,all,8-12,115,Recreation Programs Dataset,2025-11-20T22:03:04.936924
